original_path,original_relpath,normalized_path,normalized_relpath,filename,normalized_filename
/home/locotoki/projects/alfred-agent-platform-v2/docs/IMPLEMENTATION_STATUS.md,IMPLEMENTATION_STATUS.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/implementation_status.md,implementation_status.md,IMPLEMENTATION_STATUS.md,implementation_status.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/LLM_INTEGRATION_ASSESSMENT.md,LLM_INTEGRATION_ASSESSMENT.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/llm_integration_assessment.md,llm_integration_assessment.md,LLM_INTEGRATION_ASSESSMENT.md,llm_integration_assessment.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/AGENT_DEPLOYMENT_GUIDE.md,AGENT_DEPLOYMENT_GUIDE.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/agent_deployment_guide.md,agent_deployment_guide.md,AGENT_DEPLOYMENT_GUIDE.md,agent_deployment_guide.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/PHASE2_COST.md,PHASE2_COST.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/phase2_cost.md,phase2_cost.md,PHASE2_COST.md,phase2_cost.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/SHARED_LIBRARIES.md,SHARED_LIBRARIES.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/shared_libraries.md,shared_libraries.md,SHARED_LIBRARIES.md,shared_libraries.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/UI_INTEGRATION_DESIGN.md,UI_INTEGRATION_DESIGN.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/ui_integration_design.md,ui_integration_design.md,UI_INTEGRATION_DESIGN.md,ui_integration_design.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/PHASE2_VISION.md,PHASE2_VISION.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/phase2_vision.md,phase2_vision.md,PHASE2_VISION.md,phase2_vision.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/PHASE2_TIMELINE.md,PHASE2_TIMELINE.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/phase2_timeline.md,phase2_timeline.md,PHASE2_TIMELINE.md,phase2_timeline.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/SERVICE_CONTAINERIZATION.md,SERVICE_CONTAINERIZATION.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/service_containerization.md,service_containerization.md,SERVICE_CONTAINERIZATION.md,service_containerization.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/INFRASTRUCTURE_STATUS_UPDATED.md,INFRASTRUCTURE_STATUS_UPDATED.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/infrastructure_status_updated.md,infrastructure_status_updated.md,INFRASTRUCTURE_STATUS_UPDATED.md,infrastructure_status_updated.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/migration-tracking.md,migration-tracking.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/migration_tracking.md,migration_tracking.md,migration-tracking.md,migration_tracking.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/POST_ROLLOUT_ACTIONS.md,POST_ROLLOUT_ACTIONS.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/post_rollout_actions.md,post_rollout_actions.md,POST_ROLLOUT_ACTIONS.md,post_rollout_actions.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/system-diagram.md,system-diagram.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/system_diagram.md,system_diagram.md,system-diagram.md,system_diagram.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/documentation-system-summary.md,documentation-system-summary.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/documentation_system_summary.md,documentation_system_summary.md,documentation-system-summary.md,documentation_system_summary.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/ARCHITECTURE_DIAGRAM.md,ARCHITECTURE_DIAGRAM.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/architecture_diagram.md,architecture_diagram.md,ARCHITECTURE_DIAGRAM.md,architecture_diagram.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/taxonomy-integration.md,taxonomy-integration.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/taxonomy_integration.md,taxonomy_integration.md,taxonomy-integration.md,taxonomy_integration.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/PHASE2_HLD.md,PHASE2_HLD.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/phase2_hld.md,phase2_hld.md,PHASE2_HLD.md,phase2_hld.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/github-reference-guide.md,github-reference-guide.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/github_reference_guide.md,github_reference_guide.md,github-reference-guide.md,github_reference_guide.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/RAG_GATEWAY.md,RAG_GATEWAY.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/rag_gateway.md,rag_gateway.md,RAG_GATEWAY.md,rag_gateway.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/TAXONOMY-INTEGRATION.md,TAXONOMY-INTEGRATION.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/taxonomy_integration.md,taxonomy_integration.md,TAXONOMY-INTEGRATION.md,taxonomy_integration.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/PHASE2_THREAT_MODEL.md,PHASE2_THREAT_MODEL.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/phase2_threat_model.md,phase2_threat_model.md,PHASE2_THREAT_MODEL.md,phase2_threat_model.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/migration-plan.md,migration-plan.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/migration_plan.md,migration_plan.md,migration-plan.md,migration_plan.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/project-integration.md,project-integration.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/project_integration.md,project_integration.md,project-integration.md,project_integration.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/CURRENT_GAPS_AND_ISSUES.md,CURRENT_GAPS_AND_ISSUES.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/current_gaps_and_issues.md,current_gaps_and_issues.md,CURRENT_GAPS_AND_ISSUES.md,current_gaps_and_issues.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/INFRASTRUCTURE_STATUS.md,INFRASTRUCTURE_STATUS.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/infrastructure_status.md,infrastructure_status.md,INFRASTRUCTURE_STATUS.md,infrastructure_status.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/MODEL_ROUTER_DESIGN.md,MODEL_ROUTER_DESIGN.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/model_router_design.md,model_router_design.md,MODEL_ROUTER_DESIGN.md,model_router_design.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/LLM-ROADMAP.md,LLM-ROADMAP.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/llm_roadmap.md,llm_roadmap.md,LLM-ROADMAP.md,llm_roadmap.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/quick-reference.md,quick-reference.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/quick_reference.md,quick_reference.md,quick-reference.md,quick_reference.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/IMPLEMENTATION_STATUS_UPDATED.md,IMPLEMENTATION_STATUS_UPDATED.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/implementation_status_updated.md,implementation_status_updated.md,IMPLEMENTATION_STATUS_UPDATED.md,implementation_status_updated.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/MODEL_REGISTRY_DESIGN.md,MODEL_REGISTRY_DESIGN.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/model_registry_design.md,model_registry_design.md,MODEL_REGISTRY_DESIGN.md,model_registry_design.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/README.md,README.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/readme.md,readme.md,README.md,readme.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/TROUBLESHOOTING.md,TROUBLESHOOTING.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/troubleshooting.md,troubleshooting.md,TROUBLESHOOTING.md,troubleshooting.md
/home/locotoki/projects/alfred-agent-platform-v2/docs/migration-dashboard.md,migration-dashboard.md,/home/locotoki/projects/alfred-agent-platform-v2/docs/migration_dashboard.md,migration_dashboard.md,migration-dashboard.md,migration_dashboard.md
